listing_id,listing_url,brand,model,year,price,mileage_v2,fuel,carcolor_name,region_name,crawled_at,source
129613454,https://www.chotot.com/mua-ban-o-to/129613454.htm,Kia,Rio,2016,290000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129613392,https://www.chotot.com/mua-ban-o-to/129613392.htm,Kia,Morning,2016,193000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129876620,https://www.chotot.com/mua-ban-o-to/129876620.htm,Ford,Fiesta,2011,175000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
127098889,https://www.chotot.com/mua-ban-o-to/127098889.htm,Volkswagen,Tiguan,2016,555000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129876424,https://www.chotot.com/mua-ban-o-to/129876424.htm,Toyota,Corolla Cross,2020,598000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
128872139,https://www.chotot.com/mua-ban-o-to/128872139.htm,Mitsubishi,Triton,2021,620000000,,Dầu,,TP Hà Nội,2025-12-24 12:00:03,chotot
129876360,https://www.chotot.com/mua-ban-o-to/129876360.htm,Kia,Sonet,2023,559000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129554951,https://www.chotot.com/mua-ban-o-to/129554951.htm,Mazda,CX-30,2021,609000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
128291481,https://www.chotot.com/mua-ban-o-to/128291481.htm,Peugeot,3008,2022,730000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
128869211,https://www.chotot.com/mua-ban-o-to/128869211.htm,MG,MGZS,2023,425000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129756104,https://www.chotot.com/mua-ban-o-to/129756104.htm,Toyota,Fortuner,2017,639000000,,Dầu,,TP Hà Nội,2025-12-24 12:00:03,chotot
129404573,https://www.chotot.com/mua-ban-o-to/129404573.htm,Subaru,Forester,2014,489000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129876079,https://www.chotot.com/mua-ban-o-to/129876079.htm,Mitsubishi,Pajero,2009,158000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129630288,https://www.chotot.com/mua-ban-o-to/129630288.htm,Toyota,Fortuner,2014,435000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129777114,https://www.chotot.com/mua-ban-o-to/129777114.htm,Honda,Jazz,2019,385000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129708014,https://www.chotot.com/mua-ban-o-to/129708014.htm,Honda,HR-V,2021,586000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129713229,https://www.chotot.com/mua-ban-o-to/129713229.htm,MG,MGZS,2020,375000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129875742,https://www.chotot.com/mua-ban-o-to/129875742.htm,Toyota,Hiace,2012,295000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129714584,https://www.chotot.com/mua-ban-o-to/129714584.htm,Kia,Sportage,2024,979000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
128248617,https://www.chotot.com/mua-ban-o-to/128248617.htm,Kia,Sonet,2023,553000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129704585,https://www.chotot.com/mua-ban-o-to/129704585.htm,Nissan,X trail,2018,515000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129472895,https://www.chotot.com/mua-ban-o-to/129472895.htm,VinFast,VF6,2025,665000000,,Điện,,TP Hà Nội,2025-12-24 12:00:03,chotot
129024739,https://www.chotot.com/mua-ban-o-to/129024739.htm,VinFast,VF8,2022,665000000,,Điện,,TP Hà Nội,2025-12-24 12:00:03,chotot
129875289,https://www.chotot.com/mua-ban-o-to/129875289.htm,Hãng khác,Dòng khác,2025,199000000,,Điện,,TP Hà Nội,2025-12-24 12:00:03,chotot
129310740,https://www.chotot.com/mua-ban-o-to/129310740.htm,Kia,K5,2022,689000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129875210,https://www.chotot.com/mua-ban-o-to/129875210.htm,Mitsubishi,Outlander,2016,438000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129875194,https://www.chotot.com/mua-ban-o-to/129875194.htm,Mercedes Benz,C Class,2020,1010000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
128981901,https://www.chotot.com/mua-ban-o-to/128981901.htm,Hyundai,Santa Fe,2021,805000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129874989,https://www.chotot.com/mua-ban-o-to/129874989.htm,Mazda,3,2018,425000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129875107,https://www.chotot.com/mua-ban-o-to/129875107.htm,Honda,CR V,2025,1009000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
123926383,https://www.chotot.com/mua-ban-o-to/123926383.htm,Lexus,GX,2007,650000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129444412,https://www.chotot.com/mua-ban-o-to/129444412.htm,Ford,EcoSport,2016,282000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
127375434,https://www.chotot.com/mua-ban-o-to/127375434.htm,Honda,CR V,2017,535000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129874929,https://www.chotot.com/mua-ban-o-to/129874929.htm,Honda,BR-V,2025,589000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129648423,https://www.chotot.com/mua-ban-o-to/129648423.htm,Hyundai,Santa Fe,2019,760000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
127133099,https://www.chotot.com/mua-ban-o-to/127133099.htm,Kia,Sonet,2023,520000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129772537,https://www.chotot.com/mua-ban-o-to/129772537.htm,Mitsubishi,Attrage,2022,360000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129448355,https://www.chotot.com/mua-ban-o-to/129448355.htm,Mercedes Benz,C Class,2017,725000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129874727,https://www.chotot.com/mua-ban-o-to/129874727.htm,MG,RX5,2023,510000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129487807,https://www.chotot.com/mua-ban-o-to/129487807.htm,Honda,HR-V,2019,538000000,,Xăng,,TP Hà Nội,2025-12-24 12:00:03,chotot
129714900,https://www.chotot.com/mua-ban-o-to/129714900.htm,Mitsubishi,Pajero,2003,89000000,,Xăng,,TP Hồ Chí Minh,2025-12-24 12:00:18,chotot
129128976,https://www.chotot.com/mua-ban-o-to/129128976.htm,Porsche,Panamera,2017,2899000000,,Xăng,,TP Hồ Chí Minh,2025-12-24 12:00:18,chotot
128765947,https://www.chotot.com/mua-ban-o-to/128765947.htm,Mercedes Benz,C Class,2025,1959000000,,Xăng,,TP Hồ Chí Minh,2025-12-24 12:00:18,chotot
129876655,https://www.chotot.com/mua-ban-o-to/129876655.htm,Volkswagen,Teramont,2023,1788000000,,Xăng,,TP Hồ Chí Minh,2025-12-24 12:00:18,chotot
129569431,https://www.chotot.com/mua-ban-o-to/129569431.htm,Mercedes Benz,CLA Class,2016,558999999,,Xăng,,TP Hồ Chí Minh,2025-12-24 12:00:18,chotot
129876624,https://www.chotot.com/mua-ban-o-to/129876624.htm,Volkswagen,Teramont,2023,1788000000,,Xăng,,TP Hồ Chí Minh,2025-12-24 12:00:18,chotot
129876605,https://www.chotot.com/mua-ban-o-to/129876605.htm,Hyundai,Grand i10,2016,185000000,,Xăng,,TP Hồ Chí Minh,2025-12-24 12:00:18,chotot
129855365,https://www.chotot.com/mua-ban-o-to/129855365.htm,Maserati,Ghibli,2016,1398000000,,Xăng,,TP Hồ Chí Minh,2025-12-24 12:00:18,chotot
129876564,https://www.chotot.com/mua-ban-o-to/129876564.htm,Volkswagen,Touareg,2023,2368000000,,Xăng,,TP Hồ Chí Minh,2025-12-24 12:00:18,chotot
129781780,https://www.chotot.com/mua-ban-o-to/129781780.htm,VinFast,VF5 Plus,2024,415000000,,Điện,,TP Hồ Chí Minh,2025-12-24 12:00:18,chotot
129642938,https://www.chotot.com/mua-ban-o-to/129642938.htm,VinFast,VFe34,2023,450000000,,Điện,,TP Hồ Chí Minh,2025-12-24 12:00:18,chotot
129773006,https://www.chotot.com/mua-ban-o-to/129773006.htm,Ford,Tourneo,2019,664000000,,Xăng,,TP Hồ Chí Minh,2025-12-24 12:00:18,chotot
